Employee_ID,Age,Years_Experience,WFH_Days_Per_Week,Department,Job_Level,Home_Office_Quality,Internet_Speed_Category,Manager_Support_Level,Team_Collaboration_Frequency,Work_Hours_Per_Week,Meetings_Per_Week,Commute_Time_Minutes,Stress_Level,Work_Life_Balance,Job_Satisfaction,Productivity_Score
EMP0001,39,10,2,Product,Mid-Level,Good,Very Fast (100+ Mbps),Low,Few times per week,41,4,48,6,8,55.9,52.2
EMP0002,33,4,5,Customer Success,Senior,Good,Very Fast (100+ Mbps),Moderate,Monthly,52,12,0,3,8,96.1,81.5
EMP0003,40,3,3,Operations,Mid-Level,Excellent,Fast (50-100 Mbps),Moderate,Few times per week,43,15,24,5,6,90.4,82.2
EMP0004,48,14,3,Finance,Manager,Excellent,Very Fast (100+ Mbps),High,Daily,45,8,8,10,5,100,75.6
EMP0005,32,6,5,Engineering,Senior,Average,Moderate (25-50 Mbps),Very Low,Few times per week,42,10,0,3,4,100,98
EMP0006,32,7,4,HR,Mid-Level,Good,Very Fast (100+ Mbps),Very High,Few times per week,43,7,49,7,5,100,62
EMP0007,49,1,2,Marketing,Junior,Average,Moderate (25-50 Mbps),Moderate,Few times per week,38,10,12,8,3,100,66.2
EMP0008,41,11,0,Sales,Manager,Excellent,Very Fast (100+ Mbps),Moderate,Weekly,45,7,13,4,5,100,77.2
EMP0009,30,4,4,Engineering,Senior,Average,Very Fast (100+ Mbps),Moderate,Weekly,47,3,25,8,7,92.4,73.8
EMP0010,39,9,4,Engineering,Senior,Good,Slow (<25 Mbps),High,Daily,32,6,31,4,4,100,72.4
EMP0011,30,1,4,Engineering,Junior,Good,Very Fast (100+ Mbps),High,Weekly,32,13,14,2,5,100,81.1
EMP0012,30,1,5,Engineering,Junior,Good,Very Fast (100+ Mbps),Moderate,Few times per week,31,8,0,6,7,100,98
EMP0013,37,4,5,Engineering,Junior,Good,Very Fast (100+ Mbps),High,Few times per week,50,11,0,7,5,100,83.7
EMP0014,22,1,3,HR,Junior,Good,Moderate (25-50 Mbps),Moderate,Weekly,36,11,17,4,6,100,76.7
EMP0015,22,1,0,Engineering,Junior,Excellent,Fast (50-100 Mbps),High,Few times per week,44,7,29,3,6,100,64.4
EMP0016,29,1,3,Sales,Junior,Average,Moderate (25-50 Mbps),High,Few times per week,52,6,25,6,8,100,84.7
EMP0017,25,0,4,Customer Success,Junior,Excellent,Fast (50-100 Mbps),Very High,Few times per week,43,5,34,3,8,100,98
EMP0018,37,3,4,Engineering,Senior,Good,Very Fast (100+ Mbps),Very High,Weekly,45,12,13,4,4,100,80.3
EMP0019,26,2,3,Customer Success,Junior,Good,Very Fast (100+ Mbps),Moderate,Daily,36,5,18,7,6,85.3,76.3
EMP0020,22,0,3,Operations,Junior,Good,Very Fast (100+ Mbps),High,Few times per week,43,5,30,6,7,100,85.9
EMP0021,48,17,2,Sales,Lead,Average,Fast (50-100 Mbps),Moderate,Few times per week,36,7,58,9,6,99.2,73.1
EMP0022,32,1,2,Engineering,Junior,Poor,Fast (50-100 Mbps),High,Daily,30,11,53,5,3,100,57.9
EMP0023,35,1,3,Engineering,Junior,Excellent,Very Fast (100+ Mbps),Very High,Weekly,42,8,30,4,6,100,98
EMP0024,22,0,1,Sales,Junior,Good,Very Fast (100+ Mbps),High,Few times per week,43,3,0,7,5,100,98
EMP0025,30,5,2,Engineering,Mid-Level,Average,Very Fast (100+ Mbps),High,Daily,38,4,17,9,6,100,79.8
EMP0026,35,0,2,Engineering,Junior,Good,Very Fast (100+ Mbps),Moderate,Few times per week,37,8,19,6,6,100,83.3
EMP0027,24,0,3,Engineering,Mid-Level,Good,Very Fast (100+ Mbps),Very Low,Daily,40,8,40,5,7,100,98
EMP0028,38,2,0,Operations,Junior,Poor,Very Fast (100+ Mbps),Low,Weekly,37,16,13,8,6,68.8,55
EMP0029,29,3,4,Engineering,Mid-Level,Good,Very Fast (100+ Mbps),Moderate,Few times per week,46,9,1,6,5,95.4,83.1
EMP0030,32,1,3,HR,Junior,Excellent,Moderate (25-50 Mbps),Moderate,Daily,44,6,30,4,7,89.6,98
EMP0031,29,3,4,Engineering,Mid-Level,Average,Very Fast (100+ Mbps),Low,Monthly,51,6,32,9,8,91.5,90.3
EMP0032,51,21,4,Customer Success,Manager,Poor,Moderate (25-50 Mbps),Moderate,Daily,39,8,13,5,3,90.7,86.8
EMP0033,34,8,2,Engineering,Mid-Level,Average,Very Fast (100+ Mbps),Moderate,Few times per week,42,2,26,8,5,100,89.4
EMP0034,25,0,3,Finance,Junior,Good,Fast (50-100 Mbps),Moderate,Weekly,43,4,48,6,5,100,74.7
EMP0035,42,13,5,Sales,Lead,Poor,Very Fast (100+ Mbps),Moderate,Few times per week,39,7,0,6,5,100,77.2
EMP0036,24,0,4,Operations,Junior,Poor,Fast (50-100 Mbps),Moderate,Monthly,30,7,4,5,9,50.3,56.3
EMP0037,36,4,5,Engineering,Senior,Poor,Very Fast (100+ Mbps),Moderate,Weekly,44,7,0,3,4,99.8,90
EMP0038,22,1,4,Marketing,Junior,Good,Very Fast (100+ Mbps),Moderate,Bi-weekly,56,6,9,4,9,100,50.2
EMP0039,23,0,1,Engineering,Junior,Average,Moderate (25-50 Mbps),Moderate,Few times per week,47,6,47,5,6,100,94
EMP0040,36,2,0,Marketing,Junior,Average,Fast (50-100 Mbps),High,Few times per week,53,8,37,5,7,100,98
EMP0041,41,7,3,Engineering,Senior,Excellent,Very Fast (100+ Mbps),Moderate,Weekly,47,6,23,3,6,100,98
EMP0042,36,3,2,Marketing,Mid-Level,Good,Very Fast (100+ Mbps),Very High,Bi-weekly,41,5,4,6,7,100,98
EMP0043,33,0,2,Engineering,Junior,Average,Very Fast (100+ Mbps),Low,Bi-weekly,45,3,15,6,7,73.1,65.4
EMP0044,32,3,4,Engineering,Senior,Average,Fast (50-100 Mbps),High,Bi-weekly,48,3,20,3,6,100,78
EMP0045,22,1,2,Operations,Junior,Average,Fast (50-100 Mbps),High,Weekly,32,2,72,6,5,100,73.4
EMP0046,28,2,2,Data Science,Junior,Excellent,Very Fast (100+ Mbps),Moderate,Daily,44,7,24,3,9,100,75
EMP0047,30,0,4,Marketing,Junior,Good,Very Fast (100+ Mbps),Moderate,Daily,41,6,2,9,9,100,90.3
EMP0048,44,7,4,Finance,Senior,Good,Fast (50-100 Mbps),High,Daily,50,8,18,4,3,100,78.9
EMP0049,38,9,2,Marketing,Mid-Level,Average,Very Fast (100+ Mbps),High,Daily,44,9,20,7,5,100,98
EMP0050,22,0,4,Marketing,Junior,Excellent,Fast (50-100 Mbps),Low,Daily,27,8,33,4,7,100,68.3
EMP0051,37,5,5,Engineering,Senior,Average,Fast (50-100 Mbps),Very High,Daily,44,16,0,6,10,100,63.6
EMP0052,31,0,3,Engineering,Junior,Good,Fast (50-100 Mbps),Very High,Daily,29,6,0,9,8,100,98
EMP0053,28,3,0,Product,Senior,Average,Very Fast (100+ Mbps),Moderate,Monthly,49,4,21,8,8,100,75.9
EMP0054,40,9,0,Sales,Senior,Good,Moderate (25-50 Mbps),Moderate,Daily,37,5,63,7,5,96.2,65.9
EMP0055,44,11,3,Operations,Lead,Average,Very Fast (100+ Mbps),Moderate,Daily,35,9,34,7,5,82.8,55.3
EMP0056,43,7,2,Marketing,Senior,Poor,Fast (50-100 Mbps),Moderate,Weekly,37,10,36,8,5,100,82.9
EMP0057,27,1,5,Sales,Junior,Average,Moderate (25-50 Mbps),Low,Weekly,36,5,0,7,6,100,98
EMP0058,32,5,4,Sales,Senior,Excellent,Fast (50-100 Mbps),Low,Daily,41,12,16,8,8,100,94.4
EMP0059,37,8,4,Operations,Senior,Excellent,Fast (50-100 Mbps),Moderate,Daily,36,7,35,5,5,75.1,84.1
EMP0060,43,6,5,Engineering,Senior,Average,Very Fast (100+ Mbps),High,Daily,40,8,0,6,7,100,82.2
EMP0061,30,1,5,Sales,Junior,Good,Moderate (25-50 Mbps),High,Few times per week,32,5,0,6,8,100,71.9
EMP0062,33,2,2,Marketing,Junior,Average,Very Fast (100+ Mbps),Moderate,Daily,40,4,47,4,6,84.7,93.8
EMP0063,25,1,1,Data Science,Junior,Average,Fast (50-100 Mbps),Moderate,Weekly,50,10,12,6,6,100,83.4
EMP0064,24,0,4,Sales,Junior,Poor,Very Fast (100+ Mbps),Very High,Weekly,39,5,41,3,6,100,98
EMP0065,42,6,2,Operations,Senior,Good,Very Fast (100+ Mbps),Moderate,Weekly,45,12,79,6,7,100,98
EMP0066,47,6,3,Engineering,Lead,Average,Very Fast (100+ Mbps),Low,Few times per week,34,5,18,3,8,76,74.7
EMP0067,34,4,4,Engineering,Mid-Level,Excellent,Very Fast (100+ Mbps),High,Daily,45,8,9,6,10,100,98
EMP0068,44,17,5,Product,Manager,Good,Moderate (25-50 Mbps),Moderate,Few times per week,48,12,0,6,8,100,98
EMP0069,38,11,3,HR,Lead,Excellent,Moderate (25-50 Mbps),Moderate,Few times per week,50,7,37,3,6,100,92.2
EMP0070,29,1,4,Sales,Junior,Average,Fast (50-100 Mbps),High,Weekly,43,2,38,5,3,100,53.3
EMP0071,38,2,2,Marketing,Junior,Average,Very Fast (100+ Mbps),Moderate,Bi-weekly,46,6,29,7,4,86,81.6
EMP0072,48,17,4,Engineering,Manager,Excellent,Very Fast (100+ Mbps),High,Daily,34,9,6,6,2,100,98
EMP0073,34,5,0,Finance,Mid-Level,Good,Fast (50-100 Mbps),Moderate,Monthly,39,10,43,6,6,100,76.1
EMP0074,49,24,5,Engineering,Director,Average,Very Fast (100+ Mbps),Moderate,Bi-weekly,37,12,0,5,6,95,84.2
EMP0075,22,0,0,HR,Junior,Average,Fast (50-100 Mbps),Moderate,Daily,43,9,0,2,8,71.1,48.5
EMP0076,42,7,4,Marketing,Mid-Level,Average,Very Fast (100+ Mbps),High,Daily,38,10,27,9,3,100,90.1
EMP0077,35,3,0,Engineering,Mid-Level,Poor,Fast (50-100 Mbps),Very High,Daily,46,10,0,5,5,100,84.8
EMP0078,32,9,2,Product,Senior,Average,Moderate (25-50 Mbps),Moderate,Few times per week,56,7,26,5,6,87.9,98
EMP0079,35,5,3,Data Science,Mid-Level,Good,Fast (50-100 Mbps),High,Daily,45,10,43,3,8,100,98
EMP0080,22,0,3,Engineering,Junior,Good,Moderate (25-50 Mbps),Very High,Daily,50,7,57,6,3,100,85.6
EMP0081,33,6,1,Customer Success,Lead,Good,Fast (50-100 Mbps),High,Bi-weekly,34,9,56,9,5,100,98
EMP0082,38,10,2,HR,Lead,Average,Fast (50-100 Mbps),Moderate,Daily,41,8,38,4,7,100,96.6
EMP0083,48,12,4,HR,Manager,Good,Very Fast (100+ Mbps),Moderate,Few times per week,43,9,32,5,5,86.9,84.9
EMP0084,30,0,4,Design,Mid-Level,Average,Very Fast (100+ Mbps),Very Low,Weekly,42,12,28,4,10,48.4,60.3
EMP0085,27,1,0,Marketing,Mid-Level,Excellent,Moderate (25-50 Mbps),High,Bi-weekly,53,8,14,8,6,100,65.2
EMP0086,30,5,4,Finance,Mid-Level,Average,Fast (50-100 Mbps),High,Daily,37,11,31,6,9,100,72.6
EMP0087,43,13,0,Customer Success,Lead,Average,Fast (50-100 Mbps),Moderate,Daily,43,12,28,8,9,100,85.9
EMP0088,37,5,3,Marketing,Junior,Good,Fast (50-100 Mbps),Moderate,Weekly,27,6,36,8,5,100,94.8
EMP0089,30,0,2,Marketing,Junior,Good,Very Fast (100+ Mbps),High,Weekly,44,11,57,7,5,100,74.9
EMP0090,39,10,3,Sales,Lead,Excellent,Slow (<25 Mbps),High,Monthly,45,7,18,4,5,100,98
EMP0091,35,7,2,HR,Mid-Level,Average,Very Fast (100+ Mbps),High,Daily,41,14,33,2,6,100,89
EMP0092,43,5,5,Finance,Mid-Level,Average,Moderate (25-50 Mbps),Moderate,Weekly,44,7,0,3,3,100,88.9
EMP0093,28,2,2,Marketing,Junior,Good,Very Fast (100+ Mbps),High,Few times per week,38,5,39,7,8,100,83
EMP0094,32,0,2,Sales,Junior,Excellent,Very Fast (100+ Mbps),Low,Bi-weekly,34,13,39,7,4,98.8,94.6
EMP0095,31,3,2,Engineering,Mid-Level,Good,Very Fast (100+ Mbps),Moderate,Few times per week,36,8,79,7,9,100,93.3
EMP0096,22,0,5,Engineering,Junior,Good,Moderate (25-50 Mbps),High,Few times per week,36,7,0,4,7,100,89.3
EMP0097,37,7,4,Marketing,Mid-Level,Good,Moderate (25-50 Mbps),High,Daily,34,7,20,4,6,100,87.5
EMP0098,37,9,4,Sales,Senior,Good,Moderate (25-50 Mbps),Very High,Daily,34,12,0,9,7,100,98
EMP0099,35,9,5,Customer Success,Senior,Excellent,Very Fast (100+ Mbps),Moderate,Few times per week,37,5,0,7,9,100,98
EMP0100,32,4,5,Marketing,Mid-Level,Good,Very Fast (100+ Mbps),Moderate,Daily,39,12,0,7,5,100,79.6
EMP0101,22,1,4,Design,Junior,Average,Fast (50-100 Mbps),Very High,Few times per week,42,4,21,3,5,100,92.2
EMP0102,31,2,1,Engineering,Junior,Average,Very Fast (100+ Mbps),Moderate,Daily,34,8,73,5,6,84.4,44.5
EMP0103,31,5,4,Data Science,Junior,Good,Fast (50-100 Mbps),Moderate,Weekly,36,9,31,2,6,100,98
EMP0104,27,1,2,Sales,Mid-Level,Average,Fast (50-100 Mbps),High,Daily,38,9,37,7,3,100,86.8
EMP0105,33,4,4,Operations,Mid-Level,Excellent,Very Fast (100+ Mbps),High,Weekly,44,10,6,6,7,100,98
